l,t
1000,13.47645378112793
2000,25.783130884170532
3000,38.325135469436646
4000,51.175968170166016
5000,64.2392475605011
6000,77.19045972824097
7000,89.8511950969696
8000,102.549720287323
9000,115.65864729881287
10000,128.58253288269043
11000,141.39470195770264
12000,154.12833881378174
13000,166.71248531341553
14000,179.58843064308167
15000,192.36573457717896
16000,204.67222213745117
17000,217.2529637813568
18000,229.61811470985413
19000,242.39869928359985
20000,255.12519311904907
21000,305.784508228302
22000,358.09003615379333
23000,409.4713349342346
24000,462.4772868156433
25000,514.855678319931
26000,568.2559185028076
27000,620.2548332214355
28000,671.538568019867
29000,721.9059708118439
30000,773.3261244297028
31000,824.4960649013519
32000,875.5720016956329
33000,927.0801157951355
34000,977.8299527168274
35000,1028.2739491462708
36000,1078.678246974945
37000,1128.9288654327393
38000,1179.2369441986084
39000,1231.5360250473022
40000,1283.8950326442719
41000,1335.2923953533173
42000,1387.3045799732208
43000,1440.7687528133392
44000,1493.3841862678528
45000,1546.4855868816376
46000,1598.8172507286072
47000,1651.6804180145264
48000,1706.0119326114655
49000,1757.6172432899475
50000,1810.1377909183502
51000,1861.7892875671387
52000,1914.0950112342834
53000,1966.8912014961243
54000,2019.9826533794403
55000,2072.740685224533
56000,2124.8282821178436
57000,2177.1997497081757
58000,2229.244669675827
59000,2279.652980327606
60000,2330.193731546402
61000,2382.5786061286926
62000,2435.4422976970673
63000,2488.127664089203
64000,2540.0954570770264
65000,2591.8839087486267
66000,2644.320395231247
67000,2695.4074878692627
68000,2746.104863166809
69000,2798.5691611766815
70000,2851.961014986038
71000,2904.530458688736
72000,2957.135322570801
73000,3008.8265268802643
74000,3061.1425065994263
75000,3114.276406764984
76000,3167.0878450870514
77000,3219.4233014583588
78000,3270.0553863048553
79000,3322.6700963974
80000,3376.5595808029175
81000,3429.7769384384155
82000,3483.0523705482483
83000,3536.359914302826
84000,3588.766359090805
85000,3640.5445177555084
86000,3692.7454845905304
87000,3743.873140335083
88000,3797.0287532806396
89000,3849.0098752975464
90000,3900.5958960056305
91000,3952.883337020874
92000,4004.900803565979
93000,4055.9040603637695
94000,4108.076434135437
95000,4160.915411710739
96000,4214.0429656505585
97000,4265.503581047058
98000,4316.855102777481
99000,4369.526182889938
100000,4420.864633798599
101000,4473.953582048416
102000,4525.396414518356
103000,4579.249000549316
104000,4632.140097618103
105000,4684.533703327179
106000,4736.484617948532
107000,4789.403100728989
108000,4841.384062051773
109000,4894.066733837128
110000,4946.142202138901
111000,4997.319501399994
112000,5050.053119182587
113000,5103.059394359589
114000,5155.873708724976
115000,5208.568321466446
116000,5260.649032115936
117000,5312.001101255417
118000,5363.188400506973
119000,5415.28387761116
120000,5465.407845020294
121000,5516.580767393112
122000,5567.068079710007
123000,5618.346422433853
124000,5669.64501285553
125000,5720.0018475055695
126000,5770.8867909908295
127000,5822.33464217186
128000,5873.733167886734
129000,5923.797991275787
130000,5974.458575487137
131000,6025.079426765442
132000,6076.449284076691
133000,6127.763934135437
134000,6178.227860212326
135000,6228.221121788025
136000,6278.111451148987
137000,6329.341633081436
138000,6379.81094956398
139000,6430.688878536224
140000,6481.618658542633
141000,6532.219657897949
142000,6584.299749135971
143000,6634.4703624248505
144000,6685.31470823288
145000,6735.852409601212
146000,6786.100173711777
147000,6836.831396341324
148000,6888.4466898441315
149000,6939.620240211487
150000,6990.046709060669
151000,7040.784317493439
152000,7091.586482286453
153000,7141.507988452911
154000,7191.474415779114
155000,7241.500956296921
156000,7291.668980360031
157000,7341.896962404251
158000,7391.901180267334
159000,7442.00040602684
160000,7491.797073841095
161000,7541.935264348984
162000,7592.087691783905
163000,7641.9883008003235
164000,7692.229027032852
165000,7742.36868596077
166000,7792.774213075638
167000,7843.608443975449
168000,7893.7901747226715
169000,7944.0703773498535
170000,7995.266457080841
171000,8045.525683403015
172000,8096.535030603409
173000,8147.391954898834
174000,8198.345561027527
175000,8249.979567289352
176000,8300.440044879913
177000,8350.838534355164
178000,8401.144359827042
179000,8451.1618309021
180000,8500.993691921234
181000,8551.368377923965
182000,8601.461115837097
183000,8652.035650730133
184000,8702.423088788986
185000,8752.690635919571
186000,8803.24445772171
187000,8853.311802864075
188000,8903.078730106354
189000,8953.632590770721
190000,9004.292450428009
191000,9054.452885627747
192000,9104.445960760117
193000,9155.253891944885
194000,9205.538376808167
195000,9255.696640729904
196000,9306.815560102463
197000,9357.097888231277
198000,9407.231544971466
199000,9457.416052103043
200000,9507.528493404388
201000,9558.328202486038
202000,9608.836625814438
203000,9658.76472401619
204000,9708.924441576004
205000,9759.149013519287
206000,9809.231565952301
207000,9859.402580499649
208000,9909.764434814453
209000,9960.18982219696
210000,10010.42526102066
211000,10060.603313207626
212000,10111.305998325348
213000,10161.572296380997
214000,10212.049562215805
215000,10262.8846347332
216000,10313.630620241165
217000,10364.035459518433
218000,10414.360949993134
219000,10465.273408651352
220000,10515.561675548553
221000,10566.381835460663
222000,10617.116805315018
223000,10667.39640378952
224000,10718.166211605072
225000,10768.209918022156
226000,10818.956748723984
227000,10869.25383591652
228000,10919.350193977356
229000,10969.564587831497
230000,11020.292937278748
231000,11070.869335889816
232000,11121.204961538315
233000,11171.201979398727
234000,11221.599898338318
235000,11272.119172334671
236000,11322.492852687836
237000,11373.33016037941
238000,11424.133128404617
239000,11474.294657468796
240000,11524.736198425293
241000,11575.459747552872
242000,11625.679806947708
243000,11675.771303892136
244000,11726.160462141037
245000,11776.349750518799
246000,11826.799799203873
247000,11877.169172763824
248000,11927.922466278076
249000,11978.373639822006
250000,12028.877004146576
251000,12079.181640863419
252000,12129.476118087769
253000,12179.553023815155
254000,12229.884662151337
255000,12280.205574512482
256000,12331.006804466248
257000,12381.748879432678
258000,12432.958690404892
259000,12483.427517414093
260000,12533.917402744293
261000,12584.349086046219
262000,12634.64413356781
263000,12685.18733716011
264000,12735.471354961395
265000,12785.475363731384
266000,12835.52705025673
267000,12885.662348508835
268000,12936.594043016434
269000,12986.77864933014
270000,13037.46435379982
271000,13087.854050397873
272000,13139.012259244919
273000,13190.487625360489
274000,13242.052691221237
275000,13293.447482585907
276000,13344.340437173843
277000,13396.354060173035
278000,13447.217702150345
279000,13498.278470993042
280000,13549.170868396759
281000,13599.316972255707
282000,13649.701804876328
283000,13700.482135295868
284000,13750.531491279602
285000,13800.938514232635
286000,13850.755714893341
287000,13900.731532812119
288000,13950.70408821106
289000,14001.071694135666
290000,14051.711637735367
291000,14102.049185991287
292000,14152.490505218506
293000,14202.768976449966
294000,14252.930067539215
295000,14303.21841955185
296000,14353.346762180328
297000,14403.338471889496
298000,14453.660257101059
299000,14503.500041723251
300000,14553.979645252228
301000,14604.081253290176
302000,14654.429841518402
303000,14704.73504781723
304000,14754.745542764664
305000,14804.936984300613
306000,14854.940234661102
307000,14905.259681224823
308000,14955.140946149826
309000,15005.80609536171
310000,15055.887869119644
311000,15105.813998937607
312000,15156.311170101166
313000,15206.682455062866
314000,15257.94726061821
315000,15307.860579013824
316000,15358.25961637497
317000,15408.691976547241
318000,15459.419458389282
319000,15509.896266698837
320000,15560.389184474945
321000,15610.603477716446
322000,15660.892516851425
323000,15711.282450675964
324000,15761.77873826027
325000,15812.575296401978
326000,15863.194781780243
327000,15913.621240139008
328000,15964.044357776642
329000,16013.98616719246
330000,16064.682758569717
331000,16115.37530040741
332000,16165.779245376587
333000,16216.810108184814
334000,16267.678362607956
335000,16318.724107265472
336000,16370.369549512863
337000,16420.760759830475
338000,16471.38319826126
339000,16522.421127080917
340000,16573.655762195587
341000,16624.084027290344
342000,16676.432753801346
343000,16726.962333917618
344000,16777.456770420074
345000,16828.599843740463
346000,16879.910558223724
347000,16931.102101564407
348000,16981.964646100998
349000,17032.98320913315
350000,17083.49319076538
351000,17134.73414206505
352000,17186.673876047134
353000,17237.145876407623
354000,17287.932074308395
355000,17338.02450609207
356000,17388.18159341812
357000,17438.408747673035
358000,17488.737211465836
359000,17539.63770723343
360000,17591.074395895004
361000,17642.536241292953
362000,17693.643446207047
363000,17745.160297870636
364000,17796.149035692215
365000,17847.15852856636
366000,17898.59533882141
367000,17948.436002731323
368000,17999.15318417549
369000,18049.415503025055
370000,18099.666016340256
371000,18150.449952363968
372000,18201.65546965599
373000,18252.03630423546
374000,18302.924877405167
375000,18354.247975349426
376000,18404.87487244606
377000,18455.720954179764
378000,18506.495636224747
379000,18557.476919412613
380000,18607.624690771103
381000,18657.756668806076
382000,18708.105286598206
383000,18759.358518600464
384000,18810.333100795746
385000,18861.501855134964
386000,18911.800555706024
387000,18962.01610827446
388000,19011.925277233124
389000,19062.049723386765
390000,19113.28183579445
391000,19163.548283338547
392000,19213.88813138008
393000,19264.25534248352
394000,19314.42363333702
395000,19365.89782142639
396000,19416.0035238266
397000,19466.684269428253
398000,19517.204303503036
399000,19567.104921102524
400000,19617.185010433197
401000,19667.8092045784
402000,19718.055020809174
403000,19768.308169841766
404000,19818.63951063156
405000,19869.303676843643
406000,19920.126507759094
407000,19970.683349847794
408000,20021.77079319954
409000,20072.381294965744
410000,20122.731049776077
411000,20173.48765349388
412000,20224.00920367241
413000,20274.809356451035
414000,20326.04721045494
415000,20378.30367255211
416000,20428.716163635254
417000,20479.310260295868
418000,20529.987221956253
419000,20580.371744394302
420000,20631.213263511658
421000,20681.512025356293
422000,20732.05136370659
423000,20783.30858683586
424000,20833.655579805374
425000,20883.728832244873
426000,20934.029285907745
427000,20984.296694517136
428000,21034.525302410126
429000,21084.640418291092
430000,21134.69989013672
431000,21184.935686588287
432000,21234.918481588364
433000,21285.507186174393
434000,21335.68679499626
435000,21386.083917617798
436000,21437.52335381508
437000,21487.753153562546
438000,21537.876735925674
439000,21588.14916729927
440000,21638.376118659973
441000,21688.854378938675
442000,21739.179069042206
443000,21789.574064016342
444000,21840.63251876831
445000,21891.22149372101
446000,21941.514731168747
447000,21992.363498687744
448000,22042.734124422073
449000,22093.489156484604
450000,22144.548221349716
451000,22194.86074233055
452000,22245.75336074829
453000,22295.957230329514
454000,22346.49564385414
455000,22396.833156347275
456000,22446.94621682167
457000,22496.959983348846
458000,22547.860514879227
459000,22598.488542318344
460000,22648.695922374725
461000,22699.30179977417
462000,22749.70571398735
463000,22799.935394525528
464000,22850.567042827606
465000,22900.719748020172
466000,22951.102140426636
467000,23001.466810941696
468000,23051.7129278183
469000,23101.959651231766
470000,23152.13409757614
471000,23202.73101902008
472000,23253.097022771835
473000,23303.277928113937
474000,23354.220643281937
475000,23404.235128879547
476000,23455.044340848923
477000,23505.51570868492
478000,23555.456424951553
479000,23605.513375282288
480000,23656.024789333344
481000,23706.257129907608
482000,23756.31771659851
483000,23807.422532081604
484000,23857.744524002075
485000,23907.94985985756
486000,23958.405548095703
487000,24008.711154937744
488000,24058.74063038826
489000,24108.947557210922
490000,24158.935925483704
491000,24209.027324438095
492000,24259.75707745552
493000,24310.115737199783
494000,24360.37200164795
495000,24410.76634812355
496000,24461.59246611595
497000,24512.130336523056
498000,24562.197815179825
499000,24612.324657201767
500000,24662.448060035706
501000,24713.17390680313
502000,24763.99675130844
503000,24814.550928592682
504000,24865.435286283493
505000,24916.17206287384
506000,24967.013551950455
507000,25018.156968832016
508000,25069.121324300766
509000,25119.71269416809
510000,25170.575979709625
511000,25221.500955820084
512000,25272.12728190422
513000,25322.806597948074
514000,25374.11927986145
515000,25424.970502614975
516000,25475.897966861725
517000,25526.554441928864
518000,25577.764263868332
519000,25628.571419000626
520000,25679.287585258484
521000,25729.89777112007
522000,25781.067814350128
523000,25831.879566431046
524000,25882.331694841385
525000,25933.123341560364
526000,25984.09508371353
527000,26034.916351795197
528000,26085.672541856766
529000,26136.531399011612
530000,26187.390511274338
531000,26238.40628838539
532000,26289.070719480515
533000,26340.0945854187
534000,26391.256356477737
535000,26442.42289161682
536000,26493.439685821533
537000,26544.68111181259
538000,26595.48140358925
539000,26646.65358901024
540000,26697.40847349167
541000,26748.33178305626
542000,26799.475165367126
543000,26850.277060985565
544000,26901.295667648315
545000,26953.288608789444
546000,27004.383149147034
547000,27055.17199897766
548000,27105.896495342255
549000,27156.862615823746
550000,27207.653388261795
551000,27258.49780511856
552000,27309.78704047203
553000,27361.047735452652
554000,27412.078904390335
555000,27463.171555519104
556000,27514.45882344246
557000,27565.835067749023
558000,27616.527391910553
559000,27668.098937749863
560000,27718.955757141113
561000,27770.106580734253
562000,27821.29324221611
563000,27872.95237183571
564000,27924.357398033142
565000,27975.155902147293
566000,28025.924793720245
567000,28076.92223238945
568000,28127.832642555237
569000,28178.444968938828
570000,28230.641835927963
571000,28281.547858715057
572000,28332.854758024216
573000,28383.86040210724
574000,28435.267369270325
575000,28486.91751933098
576000,28538.517709732056
577000,28589.464512348175
578000,28641.292994260788
579000,28692.35744380951
580000,28744.261253595352
581000,28795.400572776794
582000,28846.182089805603
583000,28896.98289680481
584000,28947.9578435421
585000,28998.614802598953
586000,29049.501957178116
587000,29100.79417514801
588000,29151.89657187462
589000,29203.737655878067
590000,29254.279026031494
591000,29304.958848953247
592000,29356.610453367233
593000,29407.806954860687
594000,29459.13942170143
595000,29509.80672287941
596000,29560.647124528885
597000,29611.73276758194
598000,29663.358478546143
599000,29714.178206920624
600000,29765.230493307114
601000,29816.06885933876
602000,29866.97954106331
603000,29917.737662792206
604000,29968.254113674164
605000,30019.199982643127
606000,30069.929809570312
607000,30120.995944023132
608000,30171.799243211746
609000,30222.80308818817
610000,30273.685682296753
611000,30324.66049838066
612000,30375.559951543808
613000,30426.432292222977
614000,30477.229600429535
615000,30528.54604125023
616000,30579.3605427742
617000,30630.39314866066
618000,30681.107652425766
619000,30732.366470575333
620000,30783.51403236389
621000,30834.484414577484
622000,30885.622342586517
623000,30936.198904037476
624000,30986.814259290695
625000,31038.053364038467
626000,31089.505410432816
627000,31140.99950361252
628000,31191.846506118774
629000,31242.710593938828
630000,31293.529022932053
631000,31344.24695110321
632000,31396.100435733795
633000,31446.595953941345
634000,31497.85470867157
635000,31548.57515478134
636000,31599.824217557907
637000,31651.05354833603
638000,31702.673624515533
639000,31753.601131916046
640000,31805.17334008217
641000,31855.95565891266
642000,31906.524921655655
643000,31957.181800365448
644000,32008.396274089813
645000,32058.947830438614
646000,32109.882321834564
647000,32161.77853989601
648000,32213.894308805466
649000,32265.20309472084
650000,32316.615633249283
651000,32367.397475004196
652000,32418.427041769028
653000,32469.83786058426
654000,32521.134912014008
655000,32572.352053642273
656000,32623.58125782013
657000,32674.356964349747
658000,32725.9423930645
659000,32777.078176021576
660000,32828.07476019859
661000,32878.671077013016
662000,32929.506304979324
663000,32980.41989374161
664000,33031.14846301079
665000,33081.787991046906
666000,33132.61417841911
667000,33183.39989709854
668000,33234.75969958305
669000,33285.81427335739
670000,33336.621908187866
671000,33387.23135304451
672000,33437.99947094917
673000,33488.640325307846
674000,33539.188522577286
675000,33589.83500337601
676000,33640.91674923897
677000,33691.894978284836
678000,33742.69680428505
679000,33793.40830588341
680000,33844.59581232071
681000,33895.2959253788
682000,33946.22207188606
683000,33997.55145120621
684000,34048.31550908089
685000,34099.48457431793
686000,34150.87431311607
687000,34201.78658556938
688000,34252.618763923645
689000,34303.356310129166
690000,34354.23346543312
691000,34405.06302857399
692000,34455.93465805054
693000,34506.76111483574
694000,34558.289612054825
695000,34609.353905677795
696000,34660.76735043526
697000,34711.771684885025
698000,34763.19154024124
699000,34814.79696035385
700000,34867.146656513214
701000,34918.830932855606
702000,34970.24477791786
703000,35020.93338060379
704000,35071.934121370316
705000,35122.53535413742
706000,35173.36192512512
707000,35224.42389583588
708000,35275.28070688248
709000,35326.85336089134
710000,35378.468826293945
711000,35430.24787068367
712000,35481.23695445061
713000,35532.04498267174
714000,35582.97691655159
715000,35634.14341211319
716000,35684.90129685402
717000,35736.24989390373
718000,35787.45784664154
719000,35838.65729498863
720000,35889.63096213341
721000,35940.508382320404
722000,35991.421612501144
723000,36042.7124915123
724000,36093.39466333389
725000,36144.081176519394
726000,36194.80045890808
727000,36245.70956993103
728000,36296.56647825241
729000,36347.41464304924
730000,36397.937772750854
731000,36448.726736307144
732000,36499.55985212326
733000,36550.48711872101
734000,36601.73017883301
735000,36652.46667647362
736000,36702.96781921387
737000,36753.73064208031
738000,36804.58487176895
739000,36855.32328748703
740000,36906.34945440292
741000,36957.31185531616
742000,37008.68932247162
743000,37059.7786757946
744000,37110.91608262062
745000,37162.64427733421
746000,37213.21428465843
747000,37264.30385971069
748000,37315.58270955086
749000,37366.59802889824
750000,37417.255506277084
751000,37469.097710609436
752000,37520.08858847618
753000,37571.308832645416
754000,37621.96313452721
755000,37672.67166829109
756000,37723.407373189926
757000,37774.40350532532
758000,37825.76314282417
759000,37876.85877490044
760000,37927.789892435074
761000,37978.65466475487
762000,38029.880252599716
763000,38080.823108911514
764000,38131.567248106
765000,38182.40386176109
766000,38233.84668946266
767000,38284.90742468834
768000,38336.200521469116
769000,38387.618411540985
770000,38438.65758347511
771000,38489.81516337395
772000,38540.897399902344
773000,38592.00375676155
774000,38642.98951482773
775000,38694.108434677124
776000,38745.015498161316
777000,38796.394568920135
778000,38846.914853811264
779000,38898.03206396103
780000,38948.95111775398
781000,38999.931710481644
782000,39050.8749191761
783000,39102.30287718773
784000,39153.38177442551
785000,39205.52795124054
786000,39256.54520368576
787000,39308.12026262283
788000,39360.691547870636
789000,39412.766209602356
790000,39464.31734061241
791000,39515.795737981796
792000,39567.1523270607
793000,39618.138065099716
794000,39669.70652246475
795000,39721.0163769722
796000,39772.65275454521
797000,39823.673334121704
798000,39874.446254730225
799000,39925.1722676754
800000,39975.989164590836
801000,40026.931416749954
802000,40077.74488544464
803000,40128.66320896149
804000,40179.683705329895
805000,40230.48612165451
806000,40281.41418981552
807000,40332.79526400566
808000,40384.152193784714
809000,40435.029509305954
810000,40486.419662714005
811000,40537.6306579113
812000,40588.881677389145
813000,40639.96327996254
814000,40690.93407511711
815000,40741.74650788307
816000,40792.54045009613
817000,40843.73192238808
818000,40895.03897500038
819000,40946.119183301926
820000,40997.45593094826
821000,41048.163635253906
822000,41098.99364566803
823000,41150.11380982399
824000,41200.942042827606
825000,41251.80554127693
826000,41303.22162652016
827000,41353.903980493546
828000,41404.685253858566
829000,41455.33458805084
830000,41506.85572528839
831000,41558.57405304909
832000,41609.3475997448
833000,41660.144423007965
834000,41710.92769241333
835000,41761.91214299202
836000,41812.44379687309
837000,41863.76954674721
838000,41914.9378824234
839000,41973.886060237885
840000,42029.94807624817
841000,42085.21160674095
842000,42136.91724181175
843000,42200.92008852959
844000,42260.49763917923
845000,42317.402470350266
846000,42380.58807706833
847000,42436.71383166313
848000,42492.7815656662
849000,42546.48633027077
850000,42612.87451696396
851000,42668.79769206047
852000,42722.08684301376
853000,42774.71637606621
854000,42832.32844686508
855000,42888.56144142151
856000,42943.1068315506
857000,42994.42150878906
858000,43056.2736787796
859000,43114.76685118675
860000,43170.59553670883
861000,43226.3566327095
862000,43284.153764247894
863000,43337.24962306023
864000,43390.69588661194
865000,43446.35561323166
866000,43502.57620191574
867000,43553.5222659111
868000,43604.886909246445
869000,43657.38281869888
870000,43710.6589922905
871000,43762.23798108101
872000,43812.84540081024
873000,43863.639425992966
874000,43914.57840013504
875000,43965.10305929184
876000,44016.40780329704
877000,44068.12707257271
878000,44119.34043073654
879000,44170.11997842789
880000,44221.024292230606
881000,44271.69383716583
882000,44322.660611867905
883000,44373.89696764946
884000,44424.76664566994
885000,44475.372544527054
886000,44526.59060263634
887000,44577.38582158089
888000,44628.26282906532
889000,44679.6033577919
890000,44730.62451004982
891000,44781.6350839138
892000,44832.641401052475
893000,44883.18598818779
894000,44934.10532975197
895000,44984.709473371506
896000,45035.441355228424
897000,45085.99720788002
898000,45136.902505874634
899000,45187.956723213196
900000,45238.87164568901
901000,45289.9055454731
902000,45340.773639678955
903000,45391.73865866661
904000,45442.85646939278
905000,45493.86453270912
906000,45545.42762565613
907000,45596.55799484253
908000,45647.61374616623
909000,45698.27085065842
910000,45749.05573248863
911000,45799.7531979084
912000,45850.86181426048
913000,45901.74977374077
914000,45952.68322682381
915000,46003.60573935509
916000,46054.545438051224
917000,46105.13714647293
918000,46156.28329730034
919000,46206.83495593071
920000,46258.40244626999
921000,46309.398215293884
922000,46360.5819003582
923000,46411.33844423294
924000,46462.672476768494
925000,46514.33348250389
926000,46565.8621301651
927000,46617.50606036186
928000,46668.59916353226
929000,46719.75725865364
930000,46771.17154574394
931000,46822.04379749298
932000,46873.563903570175
933000,46924.76015377045
934000,46975.61452627182
935000,47026.47649312019
936000,47077.36685490608
937000,47128.79576945305
938000,47180.09362792969
939000,47230.78615093231
940000,47281.828104019165
941000,47332.85348320007
942000,47384.13804793358
943000,47435.33410549164
944000,47486.36375999451
945000,47537.7511613369
946000,47588.78110718727
947000,47639.586377859116
948000,47690.27614760399
949000,47741.18015241623
950000,47792.10155034065
951000,47843.60749006271
952000,47894.50617957115
953000,47945.84463262558
954000,47997.07749080658
955000,48048.2901930809
956000,48099.14458847046
957000,48150.59794473648
958000,48201.5815410614
959000,48253.00870847702
960000,48303.812353372574
961000,48354.89237141609
962000,48405.85777592659
963000,48456.51212859154
964000,48507.06730866432
965000,48558.18382525444
966000,48609.217494010925
967000,48660.50907588005
968000,48712.50891542435
969000,48763.77479362488
970000,48815.17308020592
971000,48866.34131026268
972000,48917.435836315155
973000,48968.90990829468
974000,49020.67093658447
975000,49072.26706647873
976000,49123.67868065834
977000,49175.50227403641
978000,49226.19499158859
979000,49277.95633435249
980000,49329.55133843422
981000,49380.660022735596
982000,49431.511237859726
983000,49482.51158833504
984000,49534.29483914375
985000,49586.19458413124
986000,49637.87112045288
987000,49689.08702111244
988000,49739.96222233772
989000,49791.669805288315
990000,49843.90505242348
991000,49895.13303208351
992000,49946.42698788643
993000,49998.186030864716
994000,50050.873529195786
995000,50102.09993267059
996000,50155.149993896484
997000,50206.407400131226
998000,50258.40845942497
